,0.45,0.72,0.58,0.63,0.56,0.76,0.59,0.61,0.58,0.66,0.41,0.74,0.54,0.58,0.91,0.52,0.38,0.65,0.64,0.51,0.54,0.61
0.45,,0.48,0.36,0.48,0.4,0.41,0.53,0.47,0.54,0.47,0.4,0.6,0.5,0.41,0.53,0.31,0.35,0.56,0.34,0.46,0.54,0.44
0.72,0.48,,0.67,0.53,0.59,0.45,0.66,0.53,0.6,0.5,0.56,0.7,0.54,0.57,0.68,0.45,0.45,0.66,0.56,0.44,0.64,0.67
0.58,0.36,0.67,,0.53,0.71,0.38,0.65,0.55,0.68,0.46,0.62,0.64,0.62,0.54,0.57,0.57,0.59,0.64,0.57,0.51,0.63,0.64
0.63,0.48,0.53,0.53,,0.5,0.74,0.61,0.81,0.63,0.68,0.46,0.72,0.61,0.8,0.75,0.7,0.57,0.68,0.81,0.71,0.57,0.7
0.56,0.4,0.59,0.71,0.5,,0.42,0.74,0.59,0.64,0.56,0.67,0.64,0.78,0.57,0.58,0.56,0.52,0.67,0.58,0.66,0.71,0.6
0.76,0.41,0.45,0.38,0.74,0.42,,0.48,0.7,0.54,0.68,0.31,0.63,0.52,0.64,0.78,0.64,0.38,0.55,0.66,0.56,0.44,0.56
0.59,0.53,0.66,0.65,0.61,0.74,0.48,,0.69,0.77,0.55,0.64,0.73,0.71,0.64,0.6,0.55,0.64,0.64,0.65,0.67,0.7,0.61
0.61,0.47,0.53,0.55,0.81,0.59,0.7,0.69,,0.64,0.69,0.47,0.64,0.6,0.76,0.68,0.68,0.65,0.67,0.73,0.72,0.57,0.62
0.58,0.54,0.6,0.68,0.63,0.64,0.54,0.77,0.64,,0.59,0.56,0.76,0.68,0.62,0.62,0.57,0.58,0.63,0.68,0.63,0.7,0.59
0.66,0.47,0.5,0.46,0.68,0.56,0.68,0.55,0.69,0.59,,0.35,0.75,0.62,0.62,0.78,0.62,0.45,0.63,0.65,0.56,0.64,0.55
0.41,0.4,0.56,0.62,0.46,0.67,0.31,0.64,0.47,0.56,0.35,,0.56,0.7,0.42,0.42,0.42,0.46,0.56,0.42,0.53,0.65,0.51
0.74,0.6,0.7,0.64,0.72,0.64,0.63,0.73,0.64,0.76,0.75,0.56,,0.71,0.67,0.8,0.62,0.52,0.74,0.69,0.64,0.75,0.65
0.54,0.5,0.54,0.62,0.61,0.78,0.52,0.71,0.6,0.68,0.62,0.7,0.71,,0.55,0.64,0.6,0.55,0.69,0.59,0.67,0.75,0.71
0.58,0.41,0.57,0.54,0.8,0.57,0.64,0.64,0.76,0.62,0.62,0.42,0.67,0.55,,0.65,0.57,0.48,0.65,0.83,0.68,0.55,0.64
0.91,0.53,0.68,0.57,0.75,0.58,0.78,0.6,0.68,0.62,0.78,0.42,0.8,0.64,0.65,,0.65,0.45,0.7,0.72,0.58,0.61,0.69
0.52,0.31,0.45,0.57,0.7,0.56,0.64,0.55,0.68,0.57,0.62,0.42,0.62,0.6,0.57,0.65,,0.72,0.57,0.62,0.6,0.51,0.55
0.38,0.35,0.45,0.59,0.57,0.52,0.38,0.64,0.65,0.58,0.45,0.46,0.52,0.55,0.48,0.45,0.72,,0.53,0.48,0.61,0.46,0.48
0.65,0.56,0.66,0.64,0.68,0.67,0.55,0.64,0.67,0.63,0.63,0.56,0.74,0.69,0.65,0.7,0.57,0.53,,0.64,0.73,0.74,0.61
0.64,0.34,0.56,0.57,0.81,0.58,0.66,0.65,0.73,0.68,0.65,0.42,0.69,0.59,0.83,0.72,0.62,0.48,0.64,,0.66,0.58,0.69
0.51,0.46,0.44,0.51,0.71,0.66,0.56,0.67,0.72,0.63,0.56,0.53,0.64,0.67,0.68,0.58,0.6,0.61,0.73,0.66,,0.63,0.54
0.54,0.54,0.64,0.63,0.57,0.71,0.44,0.7,0.57,0.7,0.64,0.65,0.75,0.75,0.55,0.61,0.51,0.46,0.74,0.58,0.63,,0.6
0.61,0.44,0.67,0.64,0.7,0.6,0.56,0.61,0.62,0.59,0.55,0.51,0.65,0.71,0.64,0.69,0.55,0.48,0.61,0.69,0.54,0.6,